antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"is_family_trip=0, meal=SC",hotel=City Hotel,0.08688102408375206,0.6640689880797591,0.08629382009747587,0.9932412860867048,1.4956899116141378,1.0,0.028598826350845458,49.703392720828866,0.3629452756096625,0.12983226685850593,0.9798806490813063,0.5615941786597388
meal=SC,hotel=City Hotel,0.08849164073182395,0.6640689880797591,0.08786249360367086,0.9928903213574746,1.4951614051855435,1.0,0.02909793928937094,47.24981659662114,0.36332731789454464,0.13218405310583306,0.9788358966863903,0.5625998036306213
"deposit_type=No Deposit, meal=SC",hotel=City Hotel,0.0884077544480702,0.6640689880797591,0.08777860731991712,0.9928835752917733,1.4951512465035053,1.0,0.029069759285183315,47.20502579503144,0.36328889890950034,0.13205785103107093,0.9788158149866903,0.5625332697776906
"lead_time_bucket=1-30, meal=SC",hotel=City Hotel,0.031071479502386565,0.6640689880797591,0.030803043394374587,0.9913606911447085,1.4928579845466892,1.0,0.010169437443083764,38.88401462976815,0.34073093252807907,0.04636656354567839,0.9742824909022013,0.5188729987057625
"is_canceled=0, meal=SC",hotel=City Hotel,0.05539011316259678,0.6640689880797591,0.054769354662819084,0.9887929728911101,1.488991340719482,1.0,0.01798649826531009,29.975033401477766,0.34766142790618704,0.08239837449676288,0.9666389028960781,0.5356341858758444
"deposit_type=Non Refund, meal=BB",hotel=City Hotel,0.1042958165910292,0.6640689880797591,0.09774429782986184,0.9371833025014076,1.411274008158992,1.0,0.02848468044530493,5.347798042515182,0.32535337636414946,0.14575202641849294,0.8130071494753607,0.5421866388080222
meal=SC,"is_repeated_guest=0, reserved_room_type=A",0.08849164073182395,0.6949475291295121,0.08636092912447886,0.9759218883306474,1.4043101779972977,1.0,0.02486388204928132,12.669285492963668,0.31585734096500007,0.12388986497869986,0.9210689505295792,0.550095800039014
meal=SC,"is_family_trip=0, reserved_room_type=A",0.08849164073182395,0.6923218884480199,0.08569822748282428,0.9684330268271873,1.3988190218831975,1.0,0.02443352765950421,9.746836032317812,0.3127905896360317,0.12328634871596833,0.8974026036054904,0.5461084085802583
meal=SC,"is_canceled=0, reserved_room_type=A",0.08849164073182395,0.4382806667281833,0.05414859616304138,0.611906341833349,1.3961518001724826,1.0,0.015364420863226723,1.4473808614275507,0.31129227061921694,0.11457020642161124,0.3090968475196635,0.3677270526706508
"is_canceled=1, meal=SC",reserved_room_type=A,0.03310152756922716,0.7203482958501456,0.03291697774496892,0.9944247339077547,1.3804776656466544,1.0,0.009072348770439526,50.1593465716054,0.2850485982051789,0.045684215428318624,0.98006353614331,0.5200603267079299
"deposit_type=Non Refund, hotel=City Hotel",reserved_room_type=A,0.10794486993431704,0.7203482958501456,0.10718150475215797,0.9929281939695368,1.3784001429443182,1.0,0.02942360164920707,39.54459482417921,0.3077402393230904,0.14863371450507773,0.9747120939171044,0.5708597090585527
"hotel=City Hotel, market_segment=Groups",reserved_room_type=A,0.11709686349185044,0.7203482958501456,0.11594762140442416,0.9901855433770328,1.3745927478157338,1.0,0.03159709533867257,28.493855023560876,0.3086542470246923,0.16070411236033438,0.9649047136944747,0.5755730213624497
"adr_bucket=A3, reserved_room_type=A",hotel=City Hotel,0.16117910560444262,0.6640689880797591,0.14696876913655849,0.911835120224836,1.3731030007311809,1.0,0.03993472357821565,3.810258832960748,0.32393388961685526,0.2166788280544665,0.7375506379384328,0.5665753168927321
"customer_type=Transient, meal=SC",reserved_room_type=A,0.08298031188920299,0.7203482958501456,0.08207434002466257,0.9890820865345735,1.3730609098856434,1.0,0.022299613766161623,25.614024606022156,0.29628610308841663,0.11379390555943242,0.9609588881333045,0.5515095545398785
"distribution_channel=TA/TO, meal=SC",reserved_room_type=A,0.08446509911164425,0.7203482958501456,0.08345846370659933,0.9880822325950939,1.3716728953026427,1.0,0.022614173502712748,23.46510840904073,0.2959616427875991,0.11569680900548888,0.9573835337741412,0.5519703598227939
"market_segment=Online TA, meal=SC",reserved_room_type=A,0.08237633064617604,0.7203482958501456,0.08136130661275574,0.9876782077393075,1.3711120209893224,1.0,0.02202165721339471,22.695700287202957,0.2949629556249816,0.11278825020641214,0.9559387907248734,0.5503126924666353
"meal=SC, stay_bucket=2-3",reserved_room_type=A,0.040735179390817805,0.7203482958501456,0.040206695803169226,0.9870263591433279,1.37020711346093,1.0,0.01086317874784365,21.55537579923336,0.281656659254841,0.055774713446209344,0.9536078605488489,0.5214209958563668
"is_family_trip=0, meal=SC",reserved_room_type=A,0.08688102408375206,0.7203482958501456,0.08569822748282428,0.9863860191175051,1.3693181823292653,1.0,0.023113629842378025,20.541508509787608,0.29537174339237016,0.11877274365502888,0.951318083600164,0.5526768925473868
"hotel=City Hotel, meal=SC",reserved_room_type=A,0.08786249360367086,0.7203482958501456,0.08666291974599233,0.9863471453122016,1.3692642170384086,1.0,0.0233713222094437,20.483020624234694,0.29565801189261887,0.12010695808870545,0.9511790756673437,0.5533270569117371
"is_repeated_guest=0, meal=SC",reserved_room_type=A,0.08776183006316637,0.7203482958501456,0.08636092912447886,0.9840374689351941,1.3660578842264712,1.0,0.02314184439778688,17.519258256381924,0.29374631216345487,0.11965504015620823,0.9429199578335048,0.5519626044135632
meal=SC,reserved_room_type=A,0.08849164073182395,0.7203482958501456,0.0870655739080103,0.9838847284102757,1.3658458471802282,1.0,0.023320771309857588,17.353210747510552,0.293856828589252,0.12062713558494688,0.9423737765563956,0.5523753342070011
"deposit_type=No Deposit, meal=SC",reserved_room_type=A,0.0884077544480702,0.7203482958501456,0.08698168762425655,0.9838694373280197,1.3658246198345898,1.0,0.02329731236765105,17.3367606472665,0.29381730496922664,0.12051091327491222,0.9423190975323483,0.5523094624687425
"lead_time_bucket=1-30, meal=SC",reserved_room_type=A,0.031071479502386565,0.7203482958501456,0.030509441401236483,0.9819114470842332,1.3631065038134007,1.0,0.008127154092149591,15.460147942851574,0.2749239014335643,0.042320715856595956,0.935317565931678,0.5121325914385205
"deposit_type=Non Refund, meal=BB",reserved_room_type=A,0.1042958165910292,0.7203482958501456,0.10214832772693337,0.9794096356470683,1.3596334457780341,1.0,0.027019013981286144,13.581678272246641,0.29530692560819904,0.1413825933494334,0.9263713968218905,0.5606068580694816
"is_canceled=0, meal=SC",reserved_room_type=A,0.05539011316259678,0.7203482958501456,0.05414859616304138,0.9775859457822202,1.3571017678725625,1.0,0.01424842253941807,12.476622989874947,0.27856535155109136,0.0750406882120437,0.9198501068108316,0.5263779831389208
"deposit_type=Non Refund, reserved_room_type=A",hotel=City Hotel,0.11962184063283812,0.6640689880797591,0.10718150475215797,0.8960028050490884,1.3492616296388056,1.0,0.02774435009087095,3.230193007405688,0.2940258039203861,0.15843315229521612,0.6904209755555305,0.5287019823408725
"adr_bucket=A4, reserved_room_type=A",hotel=City Hotel,0.1476146935214623,0.6640689880797591,0.13071999597345837,0.8855486730692731,1.333519090584174,1.0,0.032693655820957124,2.935143007328935,0.29341715770743076,0.19196324081944394,0.6593010979352488,0.5411978424654376
"market_segment=Groups, meal=BB",reserved_room_type=A,0.12883255458899914,0.7203482958501456,0.12343866654363345,0.9581325693449668,1.330096253249536,1.0,0.030634355395427054,6.6794570331780205,0.2848760158625677,0.17008611223487255,0.8502872321757852,0.5647461337501805
"adr_bucket=A2, hotel=City Hotel",reserved_room_type=A,0.1393099514298417,0.7203482958501456,0.13056061203432626,0.9371951586680315,1.3010305765518138,1.0,0.03020892592687323,4.452709348817476,0.2688291292789826,0.17907150664442267,0.7754176341499645,0.5592208325481018
