antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
deposit_type=Non Refund,"customer_type=Transient, is_family_trip=0",0.12236492211158553,0.6796215050877031,0.10826363781258126,0.8847604030986495,1.301842858819592,1.0,0.025101805277165934,2.7801077366363316,0.2641851288786391,0.15606181527969237,0.640301709598526,0.5220301515598164
"lead_time_bucket=91-180, market_segment=Groups",reserved_room_type=A,0.038126315966076386,0.7203482958501456,0.0357355568790947,0.9372937293729373,1.3011674141142453,1.0,0.008271330145887379,4.459708755652943,0.24063387160330293,0.04944461854521397,0.7757701108323629,0.4934512246641098
"adr_bucket=A2, hotel=City Hotel",reserved_room_type=A,0.1393099514298417,0.7203482958501456,0.13056061203432626,0.9371951586680315,1.3010305765518138,1.0,0.03020892592687323,4.452709348817476,0.2688291292789826,0.17907150664442267,0.7754176341499645,0.5592208325481018
lead_time_bucket=0,"customer_type=Transient, meal=BB",0.05254636814334488,0.5925055994094406,0.04050029779630732,0.7707535121328224,1.3008375159678562,1.0,0.00936628044274563,1.7775382488156428,0.2440905554730522,0.06699228506410612,0.43742420132658716,0.4195538995707718
"distribution_channel=Direct, is_repeated_guest=0",is_canceled=0,0.11476482480349638,0.6292310144368294,0.09391069466231576,0.8182881368321029,1.3004574123932564,1.0,0.021697107529546733,2.0404225629484056,0.260992559112519,0.1444590688551667,0.5099054391189428,0.4837674519649116
"adr_bucket=A3, customer_type=Transient-Party",hotel=City Hotel,0.045483143051279686,0.6640689880797591,0.0392671694251273,0.8633345628919218,1.3000675809125866,1.0,0.00906322464437707,2.4580539090844074,0.24180737691108758,0.05858279935923108,0.5931740974824727,0.46123286132545005
"is_canceled=1, market_segment=Offline TA/TO",hotel=City Hotel,0.06964239277235779,0.6640689880797591,0.060112910937932536,0.8631655022886052,1.299812998020822,1.0,0.013865557642139772,2.4550169550720433,0.24792462704588383,0.08924146004308894,0.5926708375948244,0.4768437948136936
"distribution_channel=Direct, hotel=City Hotel",is_canceled=0,0.056614852905401435,0.6292310144368294,0.046296840003691,0.8177507778930213,1.2996034193020822,1.0,0.010673018677833379,2.0344064094031222,0.2443694356813773,0.07238982161594965,0.5084561298185294,0.4456638171560827
market_segment=Online TA,"distribution_channel=TA/TO, is_canceled=0",0.4731857493981159,0.4833024352188174,0.2969993876301286,0.627659197276982,1.2986882571630463,1.0,0.06830756263517815,1.3877006253476625,0.43657184165302254,0.45034788913339363,0.2793834767138851,0.6210899867386056
"distribution_channel=TA/TO, is_canceled=0",market_segment=Online TA,0.4833024352188174,0.4731857493981159,0.2969993876301286,0.6145207762002292,1.2986882571630463,1.0,0.06830756263517815,1.3666475858515443,0.44511970497039477,0.45034788913339363,0.268282466999779,0.6210899867386056
"hotel=City Hotel, market_segment=Offline TA/TO",reserved_room_type=A,0.14019075740925602,0.7203482958501456,0.1311394273922271,0.9354356151268548,1.2985879476855928,1.0,0.030153254198528337,4.3313617050531565,0.26742302469755813,0.17979091672321187,0.7691257234801342,0.5587428215377147
"market_segment=Offline TA/TO, stay_bucket=2-3",reserved_room_type=A,0.10077259267337198,0.7203482958501456,0.09423785116895536,0.9351535836177474,1.2981964266523203,1.0,0.021646485768290993,4.312523648205644,0.255442108500072,0.12964651302350808,0.7681172135911463,0.5329881016654043
"adr_bucket=A3, market_segment=Offline TA/TO",hotel=City Hotel,0.04830172218540547,0.6640689880797591,0.04161598537023211,0.8615838832928099,1.2974312891559512,1.0,0.009540309596060254,2.4269645754538836,0.24088125366061638,0.06204352176088043,0.5879626715140731,0.46212602448813656
"distribution_channel=Corporate, market_segment=Corporate",is_canceled=0,0.040072477749163234,0.6292310144368294,0.032707262035584564,0.8162026376386854,1.2971430506635122,1.0,0.007492416210481308,2.0172704373977974,0.2386378133475687,0.05137834703773984,0.5042806450433279,0.43409118683694037
market_segment=Corporate,"is_family_trip=0, reserved_room_type=A",0.04430873507872728,0.6923218884480199,0.03978726438440051,0.8979553199545627,1.2970199771778297,1.0,0.009111357239953016,3.015131326934247,0.23961907014812045,0.05709642470205851,0.6683394878800224,0.477712317257576
lead_time_bucket=0,"customer_type=Transient, reserved_room_type=A",0.05254636814334488,0.510565477438784,0.034796030501052774,0.6621966794380588,1.2969867895493485,1.0,0.007967668962271784,1.448874219907116,0.24168161485994774,0.06586217846935534,0.30980896322103957,0.3651743123793869
"is_canceled=1, market_segment=Offline TA/TO",reserved_room_type=A,0.06964239277235779,0.7203482958501456,0.06503703579427728,0.9338713562996869,1.2964164164469136,1.0,0.01487025684178285,4.2289042765976195,0.2457580869104397,0.08971199129841126,0.7635321268599266,0.5120784487852077
"adr_bucket=A1, hotel=City Hotel",reserved_room_type=A,0.07007860144787725,0.7203482958501456,0.06531386053066462,0.932008618625808,1.2938305316955927,1.0,0.014832859402124698,4.113046367020921,0.24421553355284847,0.09007403979639055,0.7568712067001813,0.5113392263987993
